"study","design","blinded","target","total.N","orig.dose","assigned.N","duration","scale","baseline.outcome.mean","final.outcome.mean","final.outcome.se","age","male","gain.scores","z.A","z.amitriptyline","z.B1","z.B12","z.B2","z.B3","z.B5","z.B6","z.B7","z.B9","z.C","z.calcium","z.citalopram","z.D","z.E","z.fluoxetine","z.imipramine","z.iron","z.magnesium","z.multinutrient","z.none","z.nortriptyline","z.placebo","z.SSRI","z.SSRI_TCA","z.zinc","intervention","quality"
"Bagis/2013/Turkey","Randomized Controlled Trial","no","anxiety",80,"10 mg",20,8,"Beck Anxiety Scale",21.16,14.58,2.0728350151423,42.08,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"z.amitriptyline","high"
"Bagis/2013/Turkey","Randomized Controlled Trial","no","anxiety",80,"300 mg, 10 mg",20,8,"Beck Anxiety Scale",25.05,18.44,1.93419880053732,40.72,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"z.amitriptyline,z.magnesium","high"
"Bagis/2013/Turkey","Case Control","no","anxiety",80,"",20,8,"Beck Anxiety Scale",8.11,NA,NA,36.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"z.none","high"
"Amini/2023/Iran","Randomized Controlled Trial","no","depression",68,"12 mg",40,12,"DASS-21 depression",29.47,26.29,1.10679718105893,39.5,0.735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"z.zinc","high"
"Amini/2023/Iran","Randomized Controlled Trial","no","depression",68,"",40,12,"DASS-21 depression",27.05,27.58,0.844328135264957,39.5,0.735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"z.placebo","high"
"Amini/2023/Iran","Randomized Controlled Trial","no","anxiety",68,"12 mg",40,12,"DASS-21 anxiety",26.64,21.38,0.970819241671692,39.5,0.735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"z.zinc","high"
"Amini/2023/Iran","Randomized Controlled Trial","no","anxiety",68,"",40,12,"DASS-21 anxiety",24.17,26,1.02932137838481,39.5,0.735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"z.placebo","high"
"Nazarinasab/2022/Iran","Randomized Controlled Trial","yes","depression",66,"250 mg",33,6,"Beck Depression Inventory II",36.1,16.68,0.412564044615004,38.03,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"z.magnesium","high"
"Nazarinasab/2022/Iran","Randomized Controlled Trial","yes","depression",66,"",33,6,"Beck Depression Inventory II",36.13,19.36,0.470009671080384,38.8,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"z.placebo","high"
"deKoning/2019/Netherlands","Randomized Controlled Trial","yes","depression",155,"1200 IU",75,52,"CES-D",22.25,16.94,0.51,67.8,0.416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"z.D","low"
"deKoning/2019/Netherlands","Randomized Controlled Trial","yes","depression",155,"",76,52,"CES-D",22.33,16.35,0.5,67.6,0.436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"z.placebo","low"
"deKoning/2019/Netherlands","Randomized Controlled Trial","yes","anxiety",155,"1200 IU",75,52,"Log Beck Anxiety Inventory",11,0.0488,0.0986,67.8,0.416,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"z.D","low"
"deKoning/2019/Netherlands","Randomized Controlled Trial","yes","anxiety",155,"",76,52,"Log Beck Anxiety Inventory",11.91,0,0,67.6,0.436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"z.placebo","low"
"Alghamdi/2020/Saudi Arabia","Randomized Controlled Trial","no","depression",62,"50000 IU, various",49,13,"Beck Depression Inventory",NA,NA,NA,41.5,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,"z.D,z.SSRI_TCA","high"
"Alghamdi/2020/Saudi Arabia","Randomized Controlled Trial","no","depression",62,"various",13,13,"Beck Depression Inventory",NA,NA,NA,41.5,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"z.SSRI_TCA","high"
"Rouhi/2018/Iran","Randomized Controlled Trial","yes","depression",80,"1000 IU",40,26,"Edinburg Scale",15.05,8.6,0.679889696936201,24.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"z.D","low"
"Rouhi/2018/Iran","Randomized Controlled Trial","yes","depression",80,"",40,26,"Edinburg Scale",15.27,13.4,0.743135250139569,24.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"z.placebo","low"
